Name,Count,Lat,Lng
United States,258,37.09024,-95.712891
United Kingdom,52,55.378051,-3.435973
Germany,47,51.165691,10.451526
France,34,46.227638,2.213749
Japan,22,36.204824,138.252924
China,12,35.86166,104.195397
Sweden,9,60.128161,18.643501
Russia,8,61.52401,105.318756
Spain,7,40.463667,-3.74922
Switzerland,6,46.818188,8.227512
New Zealand,6,-40.900557,174.885971
Italy,6,41.87194,12.56738
India,6,20.593684,78.96288
Netherlands,5,52.132633,5.291266
Taiwan,3,23.69781,120.960515
Poland,3,51.919438,19.145136
Norway,2,60.472024,8.468946
Malaysia,2,4.210484,101.975766
Canada,2,56.130366,-106.346771
Belgium,2,50.503887,4.469936
South Korea,1,35.907757,127.766922
Slovenia,1,46.151241,14.995463
Ireland,1,53.1423672,-7.6920536
Finland,1,61.92411,25.7481511
Egypt,1,26.820553,30.802498
Cyprus,1,35.126413,33.429859
Brazil,1,-14.235004,-51.92528
Australia,1,-25.274398,133.775136
